Image,Pattern,Count,Population Size,Mutation Rate
foto1_24x24.png,Pattern 1,9,50,0.3
foto1_24x24.png,Pattern 2,11,50,0.3
foto1_24x24.png,Pattern 3,9,50,0.3
foto1_24x24.png,Pattern 4,12,50,0.3
foto1_24x24.png,Pattern 5,3,50,0.3
foto1_24x24.png,Pattern 6,7,50,0.3
foto1_24x24.png,Pattern 7,13,50,0.3
foto2_24x24.png,Pattern 1,5,50,0.3
foto2_24x24.png,Pattern 2,9,50,0.3
foto2_24x24.png,Pattern 3,12,50,0.3
foto2_24x24.png,Pattern 4,9,50,0.3
foto2_24x24.png,Pattern 5,9,50,0.3
foto2_24x24.png,Pattern 6,12,50,0.3
foto2_24x24.png,Pattern 7,8,50,0.3
foto3_24x24.png,Pattern 1,4,50,0.3
foto3_24x24.png,Pattern 2,18,50,0.3
foto3_24x24.png,Pattern 3,7,50,0.3
foto3_24x24.png,Pattern 4,8,50,0.3
foto3_24x24.png,Pattern 5,3,50,0.3
foto3_24x24.png,Pattern 6,8,50,0.3
foto3_24x24.png,Pattern 7,16,50,0.3
foto4_24x24.png,Pattern 1,10,50,0.3
foto4_24x24.png,Pattern 2,20,50,0.3
foto4_24x24.png,Pattern 3,2,50,0.3
foto4_24x24.png,Pattern 4,9,50,0.3
foto4_24x24.png,Pattern 5,4,50,0.3
foto4_24x24.png,Pattern 6,9,50,0.3
foto4_24x24.png,Pattern 7,10,50,0.3
foto5_24x24.png,Pattern 1,5,50,0.3
foto5_24x24.png,Pattern 2,12,50,0.3
foto5_24x24.png,Pattern 3,9,50,0.3
foto5_24x24.png,Pattern 4,8,50,0.3
foto5_24x24.png,Pattern 5,7,50,0.3
foto5_24x24.png,Pattern 6,7,50,0.3
foto5_24x24.png,Pattern 7,16,50,0.3
