Image,Pattern,Count,Population Size,Mutation Rate
foto1_24x24.png,Pattern 1,22,50,0.3
foto1_24x24.png,Pattern 2,4,50,0.3
foto1_24x24.png,Pattern 3,3,50,0.3
foto1_24x24.png,Pattern 4,8,50,0.3
foto1_24x24.png,Pattern 5,10,50,0.3
foto1_24x24.png,Pattern 6,4,50,0.3
foto1_24x24.png,Pattern 7,13,50,0.3
foto2_24x24.png,Pattern 1,14,50,0.3
foto2_24x24.png,Pattern 2,6,50,0.3
foto2_24x24.png,Pattern 3,7,50,0.3
foto2_24x24.png,Pattern 4,10,50,0.3
foto2_24x24.png,Pattern 5,6,50,0.3
foto2_24x24.png,Pattern 6,9,50,0.3
foto2_24x24.png,Pattern 7,12,50,0.3
foto3_24x24.png,Pattern 1,19,50,0.3
foto3_24x24.png,Pattern 2,7,50,0.3
foto3_24x24.png,Pattern 3,9,50,0.3
foto3_24x24.png,Pattern 4,8,50,0.3
foto3_24x24.png,Pattern 5,5,50,0.3
foto3_24x24.png,Pattern 6,5,50,0.3
foto3_24x24.png,Pattern 7,11,50,0.3
foto4_24x24.png,Pattern 1,19,50,0.3
foto4_24x24.png,Pattern 2,6,50,0.3
foto4_24x24.png,Pattern 3,5,50,0.3
foto4_24x24.png,Pattern 4,9,50,0.3
foto4_24x24.png,Pattern 5,7,50,0.3
foto4_24x24.png,Pattern 6,9,50,0.3
foto4_24x24.png,Pattern 7,9,50,0.3
foto5_24x24.png,Pattern 1,22,50,0.3
foto5_24x24.png,Pattern 2,6,50,0.3
foto5_24x24.png,Pattern 3,5,50,0.3
foto5_24x24.png,Pattern 4,10,50,0.3
foto5_24x24.png,Pattern 5,3,50,0.3
foto5_24x24.png,Pattern 6,3,50,0.3
foto5_24x24.png,Pattern 7,15,50,0.3
