Image,Pattern,Count,Population Size,Mutation Rate
foto1_24x24.png,Pattern 1,2,100,0.1
foto1_24x24.png,Pattern 2,25,100,0.1
foto1_24x24.png,Pattern 3,8,100,0.1
foto1_24x24.png,Pattern 4,3,100,0.1
foto1_24x24.png,Pattern 5,9,100,0.1
foto1_24x24.png,Pattern 6,6,100,0.1
foto1_24x24.png,Pattern 7,11,100,0.1
foto2_24x24.png,Pattern 1,10,100,0.1
foto2_24x24.png,Pattern 2,14,100,0.1
foto2_24x24.png,Pattern 3,17,100,0.1
foto2_24x24.png,Pattern 4,5,100,0.1
foto2_24x24.png,Pattern 5,4,100,0.1
foto2_24x24.png,Pattern 6,4,100,0.1
foto2_24x24.png,Pattern 7,10,100,0.1
foto3_24x24.png,Pattern 1,6,100,0.1
foto3_24x24.png,Pattern 2,18,100,0.1
foto3_24x24.png,Pattern 3,4,100,0.1
foto3_24x24.png,Pattern 4,5,100,0.1
foto3_24x24.png,Pattern 5,3,100,0.1
foto3_24x24.png,Pattern 6,8,100,0.1
foto3_24x24.png,Pattern 7,20,100,0.1
foto4_24x24.png,Pattern 1,10,100,0.1
foto4_24x24.png,Pattern 2,25,100,0.1
foto4_24x24.png,Pattern 3,2,100,0.1
foto4_24x24.png,Pattern 4,6,100,0.1
foto4_24x24.png,Pattern 5,2,100,0.1
foto4_24x24.png,Pattern 6,1,100,0.1
foto4_24x24.png,Pattern 7,18,100,0.1
foto5_24x24.png,Pattern 1,6,100,0.1
foto5_24x24.png,Pattern 2,21,100,0.1
foto5_24x24.png,Pattern 3,8,100,0.1
foto5_24x24.png,Pattern 4,6,100,0.1
foto5_24x24.png,Pattern 5,7,100,0.1
foto5_24x24.png,Pattern 6,3,100,0.1
foto5_24x24.png,Pattern 7,13,100,0.1
