Image,Population Size,Mutation Rate,Final Fitness,Final Loss,Last Generation
foto1_24x24.png,50,0.1,486,90,200
foto2_24x24.png,50,0.1,500,76,200
foto3_24x24.png,50,0.1,497,79,200
foto4_24x24.png,50,0.1,488,88,200
foto5_24x24.png,50,0.1,506,70,200
