Image,Pattern,Count,Population Size,Mutation Rate
foto1_24x24.png,Pattern 1,35,50,0.1
foto1_24x24.png,Pattern 2,2,50,0.1
foto1_24x24.png,Pattern 3,4,50,0.1
foto1_24x24.png,Pattern 4,4,50,0.1
foto1_24x24.png,Pattern 5,6,50,0.1
foto1_24x24.png,Pattern 6,4,50,0.1
foto1_24x24.png,Pattern 7,9,50,0.1
foto2_24x24.png,Pattern 1,22,50,0.1
foto2_24x24.png,Pattern 2,4,50,0.1
foto2_24x24.png,Pattern 3,6,50,0.1
foto2_24x24.png,Pattern 4,7,50,0.1
foto2_24x24.png,Pattern 5,5,50,0.1
foto2_24x24.png,Pattern 6,9,50,0.1
foto2_24x24.png,Pattern 7,11,50,0.1
foto3_24x24.png,Pattern 1,26,50,0.1
foto3_24x24.png,Pattern 2,7,50,0.1
foto3_24x24.png,Pattern 3,10,50,0.1
foto3_24x24.png,Pattern 4,4,50,0.1
foto3_24x24.png,Pattern 5,6,50,0.1
foto3_24x24.png,Pattern 6,5,50,0.1
foto3_24x24.png,Pattern 7,6,50,0.1
foto4_24x24.png,Pattern 1,35,50,0.1
foto4_24x24.png,Pattern 2,2,50,0.1
foto4_24x24.png,Pattern 3,2,50,0.1
foto4_24x24.png,Pattern 4,4,50,0.1
foto4_24x24.png,Pattern 5,7,50,0.1
foto4_24x24.png,Pattern 6,10,50,0.1
foto4_24x24.png,Pattern 7,4,50,0.1
foto5_24x24.png,Pattern 1,39,50,0.1
foto5_24x24.png,Pattern 2,1,50,0.1
foto5_24x24.png,Pattern 3,8,50,0.1
foto5_24x24.png,Pattern 4,4,50,0.1
foto5_24x24.png,Pattern 5,3,50,0.1
foto5_24x24.png,Pattern 6,3,50,0.1
foto5_24x24.png,Pattern 7,6,50,0.1
